,LotFrontage,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,YearsSinceBuilt,YearsSinceRemodeling,YearsSincegarageBuilt
753,80.0,178.0,0,1030,1038,1060,2098,2,8,1,3,878,192,52,275500,20,20,20.0
754,61.0,0.0,439,1026,1026,0,1026,1,5,0,2,440,171,48,156000,56,20,56.0
755,34.0,894.0,381,729,742,729,1471,2,6,0,2,440,0,24,172500,26,26,26.0
756,68.0,0.0,20,866,866,902,1768,2,7,0,2,578,144,105,212000,18,18,18.0
758,24.0,360.0,549,744,757,744,1501,2,6,0,2,440,0,0,179400,26,26,26.0
759,65.0,513.0,56,1318,1328,1203,2531,2,9,1,3,752,222,98,290000,30,30,30.0
760,70.0,0.0,612,864,864,0,864,1,5,0,1,300,0,0,127500,66,66,17.0
761,60.0,0.0,405,1145,1301,0,1301,1,5,0,2,440,0,0,100000,101,75,60.0
762,72.0,0.0,24,756,764,783,1547,2,7,0,2,614,169,45,215200,16,16,16.0
763,82.0,673.0,1163,1252,1268,1097,2365,2,8,1,3,856,0,128,337000,26,26,26.0
764,30.0,0.0,437,1494,1494,0,1494,1,6,1,2,481,0,30,270000,30,29,30.0
765,75.0,284.0,0,1498,1506,0,1506,2,6,1,2,592,0,174,264132,17,17,17.0
766,80.0,42.0,394,980,980,734,1714,2,7,1,2,496,228,66,196500,37,37,37.0
767,75.0,0.0,660,983,983,767,1750,2,7,0,1,423,245,0,160000,85,40,36.0
768,70.0,0.0,24,1860,1836,0,1836,2,8,1,2,484,120,33,216837,21,20,21.0
769,47.0,603.0,1416,1650,1690,1589,3279,3,12,1,3,841,503,36,538000,22,22,22.0
771,67.0,0.0,836,836,1220,0,1220,1,6,0,2,396,0,0,102000,74,74,74.0
772,94.0,0.0,422,1029,1117,0,1117,1,6,1,2,672,144,0,107000,49,49,49.0
773,70.0,1.0,456,912,912,0,912,1,5,0,1,275,0,0,114500,67,67,67.0
774,110.0,375.0,0,1935,1973,0,1973,2,9,1,3,895,315,45,395000,19,19,19.0
775,32.0,320.0,866,1204,1204,0,1204,2,5,0,2,412,0,247,162000,27,27,27.0
776,86.0,240.0,20,1614,1614,0,1614,2,7,0,3,865,144,59,221500,20,19,20.0
777,100.0,0.0,762,864,894,0,894,1,5,1,2,440,241,0,142500,51,51,51.0
778,60.0,320.0,0,0,2020,0,2020,2,10,2,2,630,0,0,144000,48,48,48.0
779,78.0,90.0,975,975,1004,0,1004,1,4,0,2,504,0,0,135000,48,48,48.0
780,63.0,38.0,0,1237,1253,0,1253,2,6,1,2,402,220,21,176000,30,29,30.0
781,65.0,0.0,387,761,810,793,1603,2,7,0,2,484,0,124,175900,33,33,33.0
782,67.0,0.0,0,1413,1430,0,1430,2,6,0,2,605,0,33,187100,24,23,24.0
786,60.0,0.0,686,686,966,686,1652,2,7,0,1,416,0,0,139000,110,75,64.0
787,76.0,0.0,656,956,956,1128,2084,2,8,0,2,618,0,45,233000,21,21,21.0
788,50.0,0.0,0,901,901,0,901,1,4,0,1,281,0,0,107900,71,25,71.0
790,43.0,11.0,16,1145,1145,0,1145,2,5,1,2,397,100,16,160200,20,19,20.0
792,92.0,0.0,862,1117,1127,886,2013,2,8,1,2,455,180,130,269790,29,28,28.0
793,76.0,140.0,0,1496,1496,0,1496,2,7,0,2,474,168,130,225000,18,18,18.0
795,70.0,130.0,0,650,888,676,1564,2,7,1,2,476,0,50,171000,45,44,45.0
796,71.0,148.0,0,660,1285,0,1285,1,7,1,2,528,138,0,143500,48,48,48.0
797,57.0,0.0,570,773,773,0,773,1,4,0,1,240,0,0,110000,72,72,72.0
798,104.0,860.0,0,1926,1966,1174,3140,3,11,2,3,820,144,78,485000,17,16,16.0
799,60.0,252.0,569,731,981,787,1768,1,7,2,1,240,0,0,175000,88,75,86.0
800,79.0,0.0,462,616,616,1072,1688,2,8,0,2,603,403,114,200000,28,28,28.0
801,40.0,0.0,197,1196,1196,0,1196,1,5,0,2,440,0,0,109900,109,35,68.0
802,63.0,0.0,648,728,728,728,1456,2,7,1,2,410,36,18,189000,20,20,20.0
803,107.0,424.0,0,1734,1734,1088,2822,3,12,1,3,1020,52,170,582933,17,16,16.0
804,75.0,0.0,812,936,1128,0,1128,1,5,0,1,286,0,0,118000,71,71,71.0
805,91.0,256.0,0,1417,1428,0,1428,2,6,0,2,554,0,60,227680,17,17,17.0
806,75.0,0.0,400,980,980,0,980,2,6,0,1,384,68,0,135500,58,58,58.0
807,144.0,0.0,1309,1324,1072,504,1576,1,6,1,2,528,0,312,223500,102,21,102.0
808,85.0,1047.0,516,1024,1086,0,1086,1,6,1,2,484,0,0,159950,59,59,59.0
809,90.0,0.0,0,849,1075,1063,2138,2,11,0,2,360,40,156,106000,127,60,115.0
810,78.0,99.0,663,1040,1309,0,1309,1,5,1,2,484,265,0,181000,51,26,51.0
812,66.0,0.0,0,540,1044,0,1044,1,4,0,2,504,0,0,55993,73,73,73.0
813,75.0,243.0,608,1442,1442,0,1442,1,7,0,1,301,0,0,157900,67,67,67.0
814,45.0,0.0,0,686,686,564,1250,1,7,0,1,280,207,0,116000,107,75,70.0
815,48.0,442.0,0,1649,1661,0,1661,2,6,0,2,598,0,34,224900,27,27,27.0
818,80.0,80.0,504,1010,1052,0,1052,1,6,0,2,440,0,0,155000,54,54,54.0
819,44.0,128.0,733,1358,1358,0,1358,2,6,1,2,484,192,35,224000,16,15,15.0
820,72.0,0.0,0,798,798,842,1640,2,6,0,2,595,0,45,183000,22,22,22.0
821,60.0,0.0,0,936,936,0,936,1,4,0,2,576,0,32,93000,72,72,51.0
823,60.0,0.0,0,778,944,545,1489,2,7,1,1,240,335,0,139500,85,75,85.0
824,81.0,0.0,0,1489,1489,0,1489,2,7,1,2,776,0,140,232600,19,19,19.0
825,114.0,816.0,1636,2078,2084,0,2084,2,7,1,3,1220,188,45,385000,18,17,18.0
827,65.0,0.0,20,1454,1434,0,1434,2,6,1,2,527,290,39,189000,24,24,24.0
829,24.0,0.0,0,600,520,623,1223,2,4,0,2,480,0,166,147400,20,20,20.0
830,80.0,387.0,1040,1392,1392,0,1392,1,6,2,2,458,0,0,166000,68,68,68.0
831,30.0,0.0,0,600,520,600,1200,2,4,0,2,480,0,166,151000,20,20,20.0
832,44.0,223.0,483,941,941,888,1829,2,7,1,2,613,192,39,237000,22,22,22.0
833,100.0,180.0,196,1516,1516,0,1516,1,6,0,2,472,0,0,167000,61,61,61.0
834,75.0,136.0,572,1144,1144,0,1144,1,6,0,2,456,0,0,139950,64,64,64.0
835,60.0,0.0,442,1067,1067,0,1067,2,4,0,2,436,290,0,128000,75,30,29.0
836,90.0,0.0,338,1559,1559,0,1559,1,5,0,2,812,0,116,153500,77,52,77.0
837,21.0,158.0,330,483,483,504,987,1,5,0,1,264,0,0,100000,52,52,52.0
838,75.0,0.0,0,1099,1099,0,1099,1,6,0,1,352,278,0,144000,30,19,26.0
839,70.0,0.0,352,768,768,432,1200,1,6,0,1,240,0,0,130500,79,30,79.0
841,60.0,0.0,0,650,958,581,1539,2,8,1,2,686,70,78,157500,121,23,42.0
842,82.0,183.0,312,1127,1165,0,1165,1,6,0,2,490,0,129,174900,59,59,59.0
844,100.0,0.0,0,876,876,540,1416,1,7,1,3,720,418,0,153900,110,75,76.0
846,75.0,137.0,513,740,1006,769,1775,2,7,1,2,425,234,72,213000,32,32,32.0
847,36.0,0.0,460,864,864,0,864,1,5,1,1,338,0,0,133500,53,53,53.0
848,75.0,0.0,0,907,1307,1051,2358,3,10,1,2,360,486,40,240000,117,28,117.0
849,80.0,360.0,0,528,1094,761,1855,2,7,1,2,512,113,100,187000,49,31,49.0
850,36.0,170.0,659,848,848,0,848,1,3,0,2,420,140,0,131500,22,22,22.0
852,53.0,0.0,364,918,918,728,1646,2,7,2,1,240,0,0,164000,84,75,84.0
854,102.0,0.0,306,1763,1779,0,1779,1,6,1,2,454,0,418,170000,70,51,70.0
857,65.0,0.0,0,702,702,779,1481,2,6,1,2,343,0,36,174000,31,30,31.0
858,80.0,189.0,0,1090,1370,0,1370,2,6,1,2,479,0,0,152000,49,49,49.0
860,55.0,0.0,0,912,912,514,1426,1,7,1,1,216,0,240,189950,107,27,100.0
861,75.0,0.0,841,1039,1039,0,1039,1,6,0,2,504,0,0,131500,60,60,60.0
862,81.0,0.0,338,1040,1097,0,1097,2,6,0,2,480,0,0,152000,41,40,39.0
863,70.0,0.0,1148,1148,1148,0,1148,1,6,0,1,672,0,0,132500,66,66,66.0
864,72.0,0.0,0,1372,1372,0,1372,2,6,0,2,529,0,140,250580,18,17,17.0
866,67.0,274.0,0,1638,1646,0,1646,2,6,1,3,870,192,80,248900,19,18,18.0
867,85.0,0.0,932,1040,1120,0,1120,1,5,0,2,544,168,0,129000,64,64,64.0
869,80.0,246.0,750,1050,1062,887,1949,2,8,1,2,574,156,90,236000,32,31,32.0
870,60.0,0.0,0,894,894,0,894,1,5,0,1,308,0,0,109500,63,63,63.0
871,70.0,116.0,505,804,804,878,1682,2,7,0,2,523,0,77,200500,27,27,27.0
872,74.0,0.0,0,105,910,0,910,1,5,0,2,414,196,0,116000,72,29,72.0
873,60.0,0.0,375,832,1036,0,1268,1,6,1,1,288,0,28,133000,76,75,76.0
874,52.0,0.0,0,676,676,455,1131,1,5,0,1,200,26,0,66500,84,75,84.0
875,75.0,0.0,64,1184,1184,1426,2610,2,11,1,2,550,208,364,303477,18,18,18.0
876,94.0,0.0,633,1064,1040,0,1040,1,5,0,2,648,0,0,132250,62,62,62.0
877,74.0,216.0,1170,1462,1462,762,2224,2,10,1,3,738,184,0,350000,21,20,21.0
878,88.0,0.0,899,1109,1155,0,1155,1,6,0,2,576,192,0,148000,64,30,38.0
880,60.0,0.0,980,1090,1090,0,1090,1,5,0,2,450,0,49,157000,20,19,20.0
881,44.0,117.0,902,1156,1187,530,1717,2,7,1,2,400,168,36,187500,35,34,35.0
883,60.0,0.0,0,795,954,795,2230,1,10,0,1,440,0,188,118500,113,75,28.0
884,65.0,60.0,432,892,892,0,892,1,5,0,1,288,0,0,100000,58,58,58.0
885,50.0,60.0,1238,1698,1709,0,1709,2,5,1,2,506,97,65,328900,26,25,26.0
886,70.0,122.0,528,1626,1712,0,1712,2,8,0,2,588,272,54,145000,66,20,20.0
887,59.0,0.0,0,816,872,521,1393,1,8,0,1,300,121,0,135500,70,70,70.0
888,95.0,0.0,351,2217,2217,0,2217,2,8,1,2,621,81,207,268000,55,55,55.0
889,128.0,90.0,1024,1505,1505,0,1505,1,6,1,2,505,0,0,149500,72,72,72.0
890,60.0,0.0,0,672,672,252,924,1,6,1,2,576,0,0,122900,76,19,22.0
891,70.0,92.0,226,918,918,765,1683,2,7,1,2,440,243,0,172500,47,47,47.0
892,70.0,0.0,663,1059,1068,0,1068,1,6,0,1,264,192,0,154500,62,22,62.0
894,64.0,0.0,0,0,1535,0,1535,2,8,0,2,400,0,0,118858,46,46,46.0
895,71.0,415.0,400,780,983,813,1796,1,8,1,2,483,0,50,140000,62,62,62.0
896,50.0,0.0,285,951,951,0,951,1,6,0,1,327,0,28,106500,89,75,89.0
897,64.0,0.0,0,0,1120,1120,2240,2,12,0,2,528,154,0,142953,46,46,46.0
898,100.0,760.0,2188,2330,2364,0,2364,2,11,2,3,820,0,67,611657,16,15,16.0
899,65.0,0.0,465,912,1236,0,1236,1,6,1,1,288,0,0,135000,64,31,64.0
901,64.0,0.0,860,992,1306,0,1306,1,5,0,1,756,0,0,153000,68,25,57.0
902,63.0,0.0,0,783,807,702,1509,2,8,1,2,393,0,75,180000,22,22,22.0
903,50.0,27.0,0,1670,1670,0,1670,2,7,1,3,690,144,60,240000,19,19,19.0
905,80.0,110.0,354,1056,1063,0,1063,1,6,0,1,280,0,0,128000,71,71,71.0
906,116.0,208.0,63,1623,1636,0,1636,2,8,1,3,865,0,60,255000,19,19,19.0
907,86.0,0.0,223,1017,1020,1037,2057,1,6,1,1,180,0,0,250000,89,38,89.0
909,149.0,0.0,0,742,742,742,1484,2,8,1,2,390,36,24,174000,20,20,20.0
910,80.0,361.0,443,1105,1105,1169,2274,2,12,0,2,480,0,0,154300,65,65,65.0
912,51.0,0.0,489,768,1015,0,1015,1,6,0,1,450,0,0,88000,100,75,100.0
913,82.0,0.0,284,1001,1001,1001,2002,2,8,0,3,871,0,0,145000,76,75,76.0
914,30.0,76.0,294,612,612,612,1224,2,4,0,2,528,0,234,173733,16,16,16.0
915,21.0,80.0,0,546,546,546,1092,1,6,0,1,286,0,0,75000,55,55,55.0
916,50.0,0.0,50,480,480,0,480,0,4,0,1,308,0,0,35311,76,75,67.0
918,103.0,0.0,48,1104,912,1215,2127,2,8,1,3,833,72,192,238000,34,34,34.0
919,87.0,0.0,528,1184,1414,0,1414,1,6,1,2,601,0,51,176500,67,23,35.0
920,70.0,105.0,814,928,936,785,1721,2,7,0,2,471,300,87,201000,31,31,31.0
922,65.0,0.0,28,1316,1316,0,1316,2,6,1,2,397,100,0,169990,20,19,20.0
923,50.0,0.0,165,1604,1617,0,1617,2,5,1,2,533,0,69,193000,32,31,32.0
924,79.0,157.0,625,1686,1686,0,1686,2,7,1,2,612,384,131,207500,45,45,45.0
926,93.0,340.0,0,1181,1234,1140,2374,2,10,1,3,656,104,100,285000,22,21,22.0
930,73.0,0.0,16,1466,1466,0,1466,2,7,0,3,610,100,18,201000,18,18,18.0
931,70.0,0.0,338,925,925,0,925,1,5,0,1,429,0,0,117500,60,60,60.0
932,84.0,302.0,0,1905,1905,0,1905,2,8,1,3,788,0,191,320000,19,19,19.0
933,63.0,210.0,20,1500,1500,0,1500,2,6,0,2,570,192,36,190000,21,21,21.0
934,313.0,0.0,425,585,2069,0,2069,2,9,1,2,505,0,0,242000,65,18,65.0
935,52.0,108.0,0,600,747,0,747,1,5,0,2,528,0,0,79900,99,72,72.0
937,75.0,0.0,341,1113,1113,858,1971,2,8,1,2,689,0,48,253000,20,20,20.0
938,73.0,0.0,464,1391,1391,571,1962,2,7,0,3,868,0,90,239799,19,19,19.0
940,55.0,0.0,936,1728,1728,0,1728,2,8,0,2,574,40,0,150900,49,49,49.0
943,100.0,0.0,0,1632,1632,0,1632,2,8,0,2,576,0,0,143000,58,58,58.0
945,98.0,0.0,1088,1088,1188,561,1869,1,7,0,2,456,48,0,124900,135,29,62.0
946,70.0,128.0,748,1144,1144,0,1144,1,6,1,1,796,86,0,143000,66,66,66.0
947,85.0,236.0,1300,1616,1629,0,1629,2,9,1,3,808,0,252,270000,23,22,23.0
948,65.0,144.0,0,936,936,840,1776,2,7,1,2,474,144,96,192500,23,23,23.0
949,78.0,0.0,982,1161,1381,0,1381,1,5,1,2,676,0,0,197500,53,19,53.0
950,60.0,0.0,398,864,864,0,864,1,5,0,2,720,194,0,129000,75,23,45.0
951,60.0,0.0,641,828,965,0,965,1,6,0,1,300,421,0,119900,60,60,46.0
952,60.0,0.0,660,768,768,0,768,1,5,0,1,396,192,0,133900,53,22,51.0
955,82.0,423.0,484,979,979,979,1958,2,8,0,2,492,0,0,145000,79,75,79.0
956,24.0,0.0,285,561,561,668,1229,1,5,1,2,462,150,0,124000,45,45,45.0
957,70.0,0.0,417,1057,1057,0,1057,1,6,0,2,576,0,0,132000,63,63,48.0
958,65.0,0.0,699,1337,1337,0,1337,2,6,0,2,531,0,39,185000,22,22,22.0
959,24.0,0.0,604,696,696,720,1416,2,6,0,2,484,0,44,155000,26,26,26.0
962,24.0,0.0,556,804,804,744,1548,2,7,1,2,440,48,0,155000,49,49,49.0
963,122.0,0.0,0,1800,1800,0,1800,2,7,0,2,702,288,136,239000,18,18,18.0
964,80.0,44.0,624,817,824,1070,1894,2,8,1,2,510,0,40,214900,23,22,23.0
965,65.0,0.0,0,783,783,701,1484,2,8,1,2,393,0,72,178900,20,18,20.0
966,130.0,0.0,428,728,976,332,1308,1,7,2,1,256,0,70,160000,85,75,85.0
969,75.0,105.0,513,588,1095,0,1095,1,6,0,1,264,0,0,140000,67,67,67.0
971,36.0,106.0,567,764,764,862,1626,2,6,0,2,474,0,27,173000,22,21,22.0
972,55.0,0.0,0,918,918,0,918,2,5,1,1,264,28,0,99500,46,46,46.0
974,60.0,0.0,0,728,1136,883,2019,1,8,0,2,532,509,135,167500,115,32,28.0
978,68.0,0.0,552,894,894,0,894,1,5,0,2,400,0,0,110000,71,71,26.0
979,80.0,0.0,651,1121,1121,0,1121,1,5,0,2,480,0,80,139000,62,62,62.0
981,98.0,975.0,854,1225,1276,1336,2612,2,8,1,3,676,250,0,336000,27,26,27.0
982,43.0,16.0,0,1266,1266,0,1266,2,6,1,2,388,100,16,159895,18,18,18.0
984,75.0,0.0,0,0,1302,432,1734,2,8,0,2,539,0,0,126000,48,48,48.0
985,68.0,0.0,1040,1164,1164,0,1164,1,5,0,1,240,0,48,125000,75,75,75.0
986,59.0,0.0,0,485,1001,634,1635,1,5,0,1,255,394,0,117000,115,22,75.0
987,83.0,450.0,1646,1930,1940,0,1940,2,8,1,3,606,168,95,395192,16,15,15.0
989,65.0,0.0,0,770,778,798,1576,2,6,0,2,614,0,50,197000,19,19,19.0
990,82.0,423.0,1074,1396,1407,985,2392,2,7,1,3,870,0,70,348000,28,27,28.0
991,121.0,0.0,216,916,916,826,1742,1,8,1,2,424,0,169,168000,143,39,100.0
992,80.0,340.0,536,822,1020,831,1851,2,7,1,2,440,239,42,187000,61,32,61.0
993,68.0,0.0,0,750,750,750,1500,2,6,0,2,564,0,35,173900,20,19,20.0
994,96.0,230.0,1172,1700,1718,0,1718,2,7,1,3,786,216,48,337500,19,18,17.0
995,51.0,0.0,384,747,774,456,1230,1,5,0,1,305,0,57,121600,79,75,79.0
998,60.0,0.0,0,1007,1077,0,1077,1,6,1,1,210,0,100,91000,103,75,103.0
999,64.0,24.0,686,1187,1208,0,1208,2,6,0,2,632,105,61,206000,19,19,19.0
1000,74.0,0.0,0,0,944,0,944,1,4,0,2,528,0,0,82000,73,73,69.0
1001,60.0,0.0,0,691,691,0,691,1,4,0,1,216,0,20,86000,105,75,105.0
1002,75.0,53.0,24,1574,1574,0,1574,2,7,1,3,824,144,104,232000,19,19,19.0
1004,43.0,16.0,16,1346,1504,0,1504,2,7,1,2,457,156,0,181000,20,19,20.0
1005,65.0,220.0,595,985,985,0,985,2,6,0,1,328,210,0,149900,48,48,48.0
1007,21.0,0.0,273,546,546,546,1092,1,6,0,1,286,238,0,88000,55,55,55.0
1008,43.0,108.0,0,1710,1710,0,1710,2,7,1,2,550,100,48,240000,21,20,21.0
1010,115.0,0.0,0,720,720,551,1271,2,7,1,1,312,0,0,135000,77,75,77.0
1012,55.0,0.0,0,602,900,602,1502,1,7,2,1,180,96,0,165000,102,29,102.0
1013,60.0,0.0,247,1022,1022,0,1022,1,4,0,1,280,0,30,85000,115,19,69.0
1014,60.0,206.0,336,1082,1082,0,1082,1,5,1,1,240,0,130,119200,77,75,77.0
1015,70.0,0.0,643,810,810,855,1665,2,6,0,2,528,0,45,227000,24,24,24.0
1016,73.0,196.0,690,1504,1504,0,1504,2,6,1,2,478,115,66,203000,29,29,29.0
1019,43.0,145.0,16,1362,1506,0,1506,2,6,1,2,440,142,20,213490,20,20,20.0
1020,60.0,0.0,1024,1132,1132,0,1132,1,5,0,2,451,252,64,176000,20,20,20.0
1021,64.0,84.0,684,1199,1220,0,1220,2,6,0,2,632,105,54,194000,19,19,19.0
1022,52.0,0.0,324,912,912,336,1248,1,6,0,1,160,0,0,87000,95,75,68.0
1023,43.0,14.0,16,1346,1504,0,1504,2,7,1,2,437,156,20,191000,20,19,20.0
1025,70.0,0.0,138,882,882,0,882,1,5,0,2,461,96,0,112500,53,53,45.0
1026,73.0,324.0,697,1268,1264,0,1264,1,6,2,2,461,0,0,167500,65,65,65.0
1027,71.0,338.0,1513,1638,1646,0,1646,2,7,1,3,800,192,44,293077,18,17,17.0
1028,79.0,0.0,368,768,968,408,1376,1,6,1,1,240,0,0,105000,84,75,84.0
1029,21.0,281.0,317,672,672,546,1218,1,7,0,1,264,0,28,118000,53,53,53.0
1031,102.0,0.0,523,824,1687,998,3082,2,12,2,2,672,136,63,197000,105,55,55.0
1034,50.0,0.0,0,920,954,0,954,1,5,1,1,240,0,0,119750,87,75,87.0
1036,89.0,70.0,1022,1620,1620,0,1620,2,6,1,3,912,228,0,315500,18,17,17.0
1039,21.0,0.0,509,630,630,0,630,1,3,0,1,286,0,0,80000,55,55,55.0
1040,88.0,67.0,168,1134,1803,0,1803,2,8,1,2,484,0,0,155000,68,25,68.0
1042,34.0,135.0,900,1306,1306,0,1306,2,5,1,2,624,170,63,196000,20,20,20.0
1043,86.0,99.0,1085,1475,1532,797,2329,2,10,1,2,514,192,121,262280,35,35,35.0
1044,80.0,0.0,1104,2524,2524,0,2524,2,9,1,2,542,474,120,278000,44,44,44.0
1046,85.0,208.0,240,1992,1992,876,2868,3,11,1,3,716,214,108,556581,20,19,20.0
1047,57.0,0.0,686,990,990,0,990,1,5,0,2,672,0,0,145000,31,30,29.0
1048,100.0,75.0,0,0,1771,0,1771,1,9,1,2,336,0,0,115000,65,19,65.0
1049,60.0,0.0,0,0,930,0,930,1,6,0,1,308,0,0,84900,79,19,79.0
1050,73.0,0.0,0,1302,1302,0,1302,2,6,0,2,436,0,22,176485,18,18,18.0
1051,103.0,0.0,0,1316,1316,0,1316,2,6,1,2,440,0,20,200141,18,18,18.0
1052,100.0,272.0,442,816,1127,850,1977,1,9,1,2,540,0,52,165000,61,47,61.0
1053,68.0,145.0,383,1216,1526,0,1526,1,7,1,1,364,116,78,144500,68,23,68.0
1054,90.0,210.0,932,1065,1091,898,1989,2,7,1,2,586,199,60,255000,23,23,23.0
1055,104.0,160.0,644,1193,1523,0,1523,2,7,1,2,478,0,0,180000,49,49,49.0
1056,43.0,240.0,659,1364,1364,0,1364,2,6,1,2,484,192,36,185850,20,20,20.0
1058,96.0,154.0,936,1104,1130,1054,2184,2,10,1,3,836,0,102,335000,17,17,17.0
1060,41.0,0.0,616,1338,1338,0,1338,2,6,0,2,582,0,0,213500,24,24,24.0
1061,120.0,0.0,0,894,894,0,894,1,6,0,3,1248,0,20,81000,90,75,31.0
1062,85.0,0.0,0,662,1422,915,2337,2,10,0,2,560,0,57,90000,125,75,80.0
1063,50.0,0.0,397,1103,1103,0,1103,1,5,1,2,440,166,120,110500,100,45,49.0
1065,80.0,0.0,1201,1306,1306,954,2260,2,7,0,2,533,296,44,328000,29,28,29.0
1066,59.0,0.0,0,799,799,772,1571,2,7,1,2,380,0,40,178000,32,31,32.0
1067,80.0,360.0,674,780,798,813,1611,1,7,0,2,442,328,128,167900,61,61,61.0
1068,42.0,0.0,837,942,1291,1230,2521,2,10,1,2,576,728,20,151400,52,52,52.0
1069,60.0,0.0,220,845,893,0,893,1,4,0,2,576,0,0,135000,76,22,40.0
1070,72.0,120.0,586,1048,1048,0,1048,1,6,0,1,286,0,20,135000,69,69,69.0
1071,78.0,0.0,298,727,829,727,1556,1,8,0,2,441,0,0,154000,57,57,57.0
1072,50.0,0.0,0,810,1002,454,1456,1,7,1,1,280,0,0,91500,77,75,71.0
1073,75.0,140.0,535,690,698,728,1426,1,6,0,2,440,252,0,159500,48,48,48.0
1074,74.0,0.0,0,1240,1240,0,1240,2,5,0,3,826,140,93,194000,19,19,19.0
1075,75.0,0.0,410,800,960,780,1740,1,6,2,1,240,0,0,219500,85,41,85.0
1076,60.0,0.0,626,796,1096,370,1466,2,7,1,2,566,436,21,170000,89,36,75.0
1078,37.0,169.0,662,848,848,0,848,1,3,1,2,420,140,0,155900,21,21,21.0
1079,65.0,0.0,495,990,990,0,990,1,5,0,1,299,0,64,126000,31,31,29.0
1080,80.0,144.0,656,1258,1258,0,1258,2,5,0,2,528,55,0,145000,54,21,54.0
1081,75.0,0.0,824,1040,1040,0,1040,1,5,0,1,308,0,0,133000,62,62,62.0
1082,70.0,100.0,0,1459,1459,0,1459,2,6,1,2,527,192,39,192000,23,23,23.0
1083,80.0,425.0,553,1251,1251,0,1251,1,6,2,1,461,0,116,160000,61,61,61.0
1085,73.0,0.0,747,936,996,0,996,1,5,0,2,564,120,0,147000,33,33,33.0
1087,85.0,0.0,0,1082,1082,871,1953,2,9,1,3,1043,160,50,252000,20,19,20.0
1088,24.0,50.0,0,970,970,739,1709,2,7,0,2,380,0,40,137500,21,21,21.0
1089,37.0,0.0,1039,1247,1247,0,1247,1,4,1,2,550,0,84,197000,20,20,20.0
1090,60.0,0.0,0,0,1040,0,1040,2,6,0,2,400,0,0,92900,75,75,38.0
1091,24.0,212.0,510,600,624,628,1252,2,4,0,2,462,0,48,160000,26,25,26.0
1092,60.0,0.0,423,1181,1390,304,1694,2,7,1,2,576,342,0,136500,100,75,100.0
1093,71.0,166.0,661,864,1200,0,1200,1,6,0,2,884,0,64,146000,60,27,48.0
1094,74.0,0.0,248,936,936,0,936,1,4,0,1,308,0,0,129000,69,25,69.0
1095,78.0,0.0,24,1314,1314,0,1314,2,6,1,2,440,0,22,176432,19,19,19.0
1098,50.0,0.0,672,672,757,567,1324,1,6,0,1,240,0,0,128000,89,75,89.0
1099,82.0,206.0,704,1271,1601,0,1601,2,7,1,2,478,0,0,157000,47,47,47.0
1100,60.0,0.0,290,290,438,0,438,1,3,0,1,246,0,0,60000,105,75,95.0
1101,61.0,0.0,412,950,950,0,950,1,5,0,1,280,0,0,119500,54,54,44.0
1102,70.0,45.0,588,1010,1134,0,1134,1,6,0,1,254,0,16,135000,65,23,65.0
1103,79.0,0.0,655,655,1194,0,1194,1,6,1,2,539,0,0,159500,66,66,71.0
1104,24.0,304.0,0,630,630,672,1302,2,6,0,2,440,0,0,106000,55,55,55.0
1105,98.0,362.0,1032,1463,1500,1122,2622,2,9,2,2,712,186,32,325000,31,30,31.0
1106,114.0,0.0,738,910,1442,0,1442,2,6,1,2,719,0,244,179900,35,34,35.0
1107,168.0,0.0,0,868,887,1134,2021,2,9,1,2,422,0,100,274725,19,19,19.0
1109,107.0,42.0,1039,1836,1836,0,1836,2,7,1,3,862,125,185,280000,21,20,21.0
1111,80.0,660.0,403,803,1098,866,1964,2,8,1,2,483,0,69,205000,49,49,49.0
1112,73.0,0.0,708,816,816,0,816,1,5,0,1,308,0,0,129900,68,68,68.0
1113,66.0,0.0,643,1008,1008,0,1008,1,6,0,1,240,0,18,134500,72,19,72.0
1114,90.0,0.0,415,833,833,0,833,1,4,0,1,326,0,0,117000,71,25,70.0
1115,93.0,328.0,1004,1734,1734,0,1734,2,7,1,3,928,0,0,318000,18,18,18.0
1117,57.0,0.0,702,894,894,0,894,1,5,0,2,450,0,0,130000,58,22,58.0
1118,85.0,0.0,0,533,1021,580,1601,1,6,0,1,300,280,34,140000,67,38,67.0
1119,70.0,0.0,369,1040,1040,0,1040,1,6,0,1,286,140,0,133700,66,66,66.0
1120,59.0,0.0,0,1012,1012,0,1012,1,6,1,1,308,0,22,118400,105,75,105.0
1121,84.0,196.0,24,1552,1552,0,1552,2,7,0,3,782,144,20,212900,20,19,20.0
1125,60.0,0.0,0,1005,1005,0,1005,1,5,1,2,672,0,0,115000,70,70,48.0
1126,53.0,130.0,0,1373,1555,0,1555,2,7,1,3,660,143,20,174000,18,18,18.0
1127,182.0,0.0,1300,1530,1530,0,1530,2,7,1,3,630,144,36,259000,21,21,21.0
1128,59.0,0.0,0,847,847,1112,1959,2,8,1,2,434,100,48,215000,21,20,21.0
1129,60.0,180.0,936,936,936,0,936,1,4,0,2,672,49,0,140000,45,45,45.0
1130,65.0,0.0,622,1122,1328,653,1981,2,7,2,2,576,431,44,135000,97,75,44.0
